forecast_date,lowest_price_per_mwh,highest_price_per_mwh,origin_date,data_block_id
9/1/2021,45.23,46.32,8/31/2021,1
9/2/2021,45.62,46.29,9/1/2021,2
9/3/2021,45.85,46.4,9/2/2021,3
9/4/2021,46.3,46.8,9/3/2021,4
9/5/2021,46.3,46.58,9/4/2021,5
9/6/2021,46.17,46.95,9/5/2021,6
9/7/2021,46.35,47.6,9/6/2021,7
9/8/2021,46.4,47.64,9/7/2021,8
9/9/2021,44.96,47.72,9/8/2021,9
9/10/2021,47.82,48.29,9/9/2021,10
9/11/2021,47.6,47.9,9/10/2021,11
9/12/2021,46.5,47.62,9/11/2021,12
9/13/2021,46.03,47.9,9/12/2021,13
9/14/2021,46.51,48.19,9/13/2021,14
9/15/2021,47.2,48.9,9/14/2021,15
9/16/2021,47.9,48.9,9/15/2021,16
9/17/2021,46.52,48.9,9/16/2021,17
9/18/2021,47.09,48.62,9/17/2021,18
9/19/2021,47,48.62,9/18/2021,19
9/20/2021,48,50.4,9/19/2021,20
9/21/2021,47,49.2,9/20/2021,21
9/22/2021,47.46,50.4,9/21/2021,22
9/23/2021,47.5,50.4,9/22/2021,23
9/24/2021,47.6,54.99,9/23/2021,24
9/25/2021,49,55,9/24/2021,25
9/26/2021,49.55,59.11,9/25/2021,26
9/27/2021,49.51,54.76,9/26/2021,27
9/28/2021,49.51,56,9/27/2021,28
9/29/2021,49.62,57.4,9/28/2021,29
9/30/2021,50.15,69.99,9/29/2021,30
10/1/2021,66,69.4,9/30/2021,31
10/2/2021,66.47,67.18,10/1/2021,32
10/3/2021,65.51,66.99,10/2/2021,33
10/4/2021,65.5,68,10/3/2021,34
10/5/2021,65.11,66.6,10/4/2021,35
10/6/2021,66,67.83,10/5/2021,36
10/7/2021,66,67.09,10/6/2021,37
10/8/2021,66.5,68.48,10/7/2021,38
10/9/2021,66.5,67.32,10/8/2021,39
10/10/2021,64,67,10/9/2021,40
10/11/2021,67,67.83,10/10/2021,41
10/12/2021,66.6,67.83,10/11/2021,42
10/13/2021,66.2,67.82,10/12/2021,43
10/14/2021,67,68.83,10/13/2021,44
10/15/2021,67.01,68.02,10/14/2021,45
10/16/2021,66.51,67.99,10/15/2021,46
10/17/2021,66.5,67.76,10/16/2021,47
